# Bigram data for inputd — 76811 entries
人民 代表大会 49373
人民 代表大會 49373
全国 人民 16630
全國 人民 16630
人民 共和国 14687
人民 共和國 14687
中华 人民 14392
中華 人民 14392
代表大会 常务 13701
常务 委员会 13701
代表大會 常務 13701
常務 委員會 13701
中国 共产党 7129
中國 共產黨 7129
天安門 廣場 6940
天安门 广场 6940
全国人大 常委会 6930
全國人大 常委會 6930
天安門 城樓 6323
天安门 城楼 6323
最高 人民 4738
人大 常委会 4544
人大 常委會 4544
第二次 世界 3486
人民 解放军 3228
人民 解放軍 3228
世界 大战 3130
世界 大戰 3130
中央 军事 3083
军事 委员会 3083
中央 軍事 3083
軍事 委員會 3083
人民 检察院 2946
人民 檢察院 2946
自然 保护区 2870
自然 保護區 2870
中央 人民政府 2794
馬克思 主義 2759
马克思 主义 2759
中国 人民 2707
中國 人民 2707
文化 大革命 2586
最高 人民法院 2498
第一次 世界 2302
共和国 中央 2246
共和國 中央 2246
人民 文化 2068
南京 長江大橋 1829
南京 长江大桥 1829
人民 英雄 1650
湖北省 人民政府 1538
一个 的 1428
一个 了 1428
一个 吗 1428
一个 呢 1428
一个 吧 1428
一个 啊 1428
一个 嘛 1428
一个 呀 1428
在 一个 1428
是 一个 1428
和 一个 1428
与 一个 1428
或 一个 1428
对 一个 1428
从 一个 1428
到 一个 1428
被 一个 1428
把 一个 1428
让 一个 1428
用 一个 1428
为 一个 1428
给 一个 1428
一個 的 1428
一個 了 1428
一個 吗 1428
一個 呢 1428
一個 吧 1428
一個 啊 1428
一個 嘛 1428
一個 呀 1428
在 一個 1428
是 一個 1428
和 一個 1428
与 一個 1428
或 一個 1428
对 一個 1428
从 一個 1428
到 一個 1428
被 一個 1428
把 一個 1428
让 一個 1428
用 一個 1428
为 一個 1428
给 一個 1428
技术 开发区 1372
技術 開發區 1372
中国 的 1295
中国 了 1295
中国 吗 1295
中国 呢 1295
中国 吧 1295
中国 啊 1295
中国 嘛 1295
中国 呀 1295
在 中国 1295
是 中国 1295
和 中国 1295
与 中国 1295
或 中国 1295
对 中国 1295
从 中国 1295
到 中国 1295
被 中国 1295
把 中国 1295
让 中国 1295
用 中国 1295
为 中国 1295
给 中国 1295
中國 的 1295
中國 了 1295
中國 吗 1295
中國 呢 1295
中國 吧 1295
中國 啊 1295
中國 嘛 1295
中國 呀 1295
在 中國 1295
是 中國 1295
和 中國 1295
与 中國 1295
或 中國 1295
对 中國 1295
从 中國 1295
到 中國 1295
被 中國 1295
把 中國 1295
让 中國 1295
用 中國 1295
为 中國 1295
给 中國 1295
人民 政治 1232
人民 大会 1196
人民 大會 1196
苏维埃 政府 1175
蘇維埃 政府 1175
国防 委员会 1142
國防 委員會 1142
发展 中国 1135
發展 中國 1135
政治 协商 1118
协商 会议 1118
政治 協商 1118
協商 會議 1118
华中 科技 1108
科技 大学 1108
華中 科技 1108
科技 大學 1108
共和国 宪法 1099
共和國 憲法 1099
毛泽东 思想 1075
毛澤東 思想 1075
国民 革命 1068
國民 革命 1068
劳动 人民 1034
勞動 人民 1034
中国 科学院 1002
中國 科學院 1002
中央 政治局 992
我们 的 988
我们 了 988
我们 吗 988
我们 呢 988
我们 吧 988
